Classify,condition_name,condition_factor,condition_factor_p4
Bamboo,Secondary vegetation (young) <30 years),0.757,0.328385156401
Bamboo and Fields,Secondary vegetation (young) <30 years),0.757,0.328385156401
Bamboo and Secondary Forest,Secondary vegetation (young) <30 years) (0.5); Secondary vegetation: mature (50 years and more) (0.5),0.8734999999999999,0.5821724335050623
Bare Rock,Zero_value,0.0,0.0
Bauxite Extraction,Secondary vegetation (young) <30 years),0.757,0.328385156401
Buildings and other infrastructures,Urban,0.645,0.17307680062500003
Closed broadleaved forest (Primary Forest),"Primary vegetation, forest and non-forest",1.0,1.0
Disturbed broadleaved forest (Secondary Forest),Secondary vegetation: intermediate (30-50 years),0.855,0.5343975506249999
Fields  and Bamboo,Secondary vegetation (young) <30 years),0.757,0.328385156401
Fields and Secondary Forest,Secondary vegetation (young) <30 years) (0.5); Secondary vegetation: intermediate (30-50 years) (0.5),0.806,0.4220269324960001
Fields or Secondary Forest/Pine Plantation,Secondary vegetation (young) <30 years),0.757,0.328385156401
Fields: Bare Land,Secondary vegetation (young) <30 years),0.757,0.328385156401
"Fields: Herbaceous crops, fallow, cultivated vegetables",Secondary vegetation (young) <30 years),0.757,0.328385156401
"Fields: Pasture,Human disturbed, grassland",Secondary vegetation (young) <30 years),0.757,0.328385156401
Hardwood Plantation: Euculytus,Secondary vegetation (young) <30 years),0.757,0.328385156401
Hardwood Plantation: Mahoe,Secondary vegetation (young) <30 years),0.757,0.328385156401
Hardwood Plantation: Mahogany,Secondary vegetation (young) <30 years),0.757,0.328385156401
Hardwood Plantation: Mixed,Secondary vegetation (young) <30 years),0.757,0.328385156401
Herbaceous Wetland,"Primary vegetation, forest and non-forest",1.0,1.0
Mangrove Forest,"Primary vegetation, forest and non-forest",1.0,1.0
Open dry forest - Short,"Primary vegetation, forest and non-forest",1.0,1.0
Open dry forest - Tall (Woodland/Savanna),"Primary vegetation, forest and non-forest",1.0,1.0
"Plantation: Tree crops, shrub crops, sugar cane, banana",Secondary vegetation (young) <30 years),0.757,0.328385156401
Quarry,Secondary vegetation (young) <30 years),0.757,0.328385156401
Secondary Forest,Secondary vegetation: mature (50 years and more),0.99,0.96059601
Swamp Forest,"Primary vegetation, forest and non-forest",1.0,1.0
Water Body,Zero_value,0.0,0.0
